日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260331,6545,インターネットインフィニティー,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6546,フルテック,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6547,グリーンズ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6548,旅工房,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6549,ディーエムソリューションズ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6551,ツナググループ・ホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6552,ＧａｍｅＷｉｔｈ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6554,エスユーエス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6555,ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6557,ＡＩＡＩグループ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6558,クックビズ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6560,エル・ティー・エス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260331,6561,ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6562,ジーニー,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6563,みらいワークス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6564,ミダックホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260331,6565,ＡＢホテル,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6566,要興業,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6568,神戸天然物化学,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6570,共和コーポレーション,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6571,キュービーネットホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260331,6572,オープングループ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260331,6573,ＣＲＡＶＩＡ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6574,コンヴァノ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6576,揚工舎,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6577,ベストワンドットコム,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6578,コレックホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6579,ログリー,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260331,6580,ライトアップ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
